Scraped_Date,Scraped_Time,Product_URL,Product_ID,Product_Name,Weight,SKU,UPC,Brand,Price,Rating,Reviews,Availability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-turkey-large-breed-15kg-p-29069,29069,ADVANCE DOG ADULT TURKEY LARGE+ BREED 15KG,15kg,165754,9334214038568,ADVANCE,$159.00,4.3,8,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-medium-breed-turkey-rice-15kg-p-20977,20977,ADVANCE DOG ADULT MEDIUM BREED TURKEY & RICE 15KG,15kg,164701,9310022528903,ADVANCE,$150.00,5.0,1,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-weight-control-small-breed-chicken-25kg-p-17158,17158,ADVANCE DOG ADULT WEIGHT CONTROL SMALL BREED CHICKEN 2.5KG,5kg,240006,9334214024356,ADVANCE,$46.05,3.8,4,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-casserole-lamb-400g-p-21462,21462,ADVANCE DOG CASSEROLE LAMB 400G,400g,162099,9334214029825,ADVANCE,$5.14,5.0,1,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-medium-breed-turkey-rice-3kg-p-21534,21534,ADVANCE DOG ADULT MEDIUM BREED TURKEY & RICE 3KG,3kg,164814,9334214028132,ADVANCE,$46.60,5.0,1,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-chicken-and-salmon-410g-p-21460,21460,ADVANCE DOG CHICKEN AND SALMON 410G,410g,162098,9334214029788,ADVANCE,$5.14,N/A,N/A,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-small-breed-lamb-and-rice-8kg-p-17153,17153,ADVANCE DOG ADULT SMALL BREED LAMB AND RICE 8KG,8kg,163011,9334214024141,ADVANCE,$102.00,4.8,5,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-all-breed-sensitive-700g-p-21536,21536,ADVANCE DOG ALL BREED SENSITIVE 700G,700g,162105,9334214029719,ADVANCE,$7.42,2.0,1,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-medium-breed-lamb-and-rice-3kg-p-17154,17154,ADVANCE DOG ADULT MEDIUM BREED LAMB AND RICE 3KG,3kg,164615,9334214024325,ADVANCE,$46.60,N/A,N/A,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-small-breed-lamb-and-rice-3kg-p-17152,17152,ADVANCE DOG ADULT SMALL BREED LAMB AND RICE 3KG,3kg,163010,9334214024349,ADVANCE,$46.60,4.8,4,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-casserole-chicken-700g-p-21464,21464,ADVANCE DOG CASSEROLE CHICKEN 700G,700g,162100,9334214029726,ADVANCE,$7.42,4.0,1,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-all-breed-sensitive-410g-p-21452,21452,ADVANCE DOG ALL BREED SENSITIVE 410G,410g,162092,9334214017532,ADVANCE,$5.14,4.7,3,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-chicken-and-salmon-700g-p-21466,21466,ADVANCE DOG CHICKEN AND SALMON 700G,700g,162101,9334214029733,ADVANCE,$7.42,N/A,N/A,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-weight-control-medium-breed-13kg-p-3325,3325,ADVANCE DOG WEIGHT CONTROL MEDIUM BREED 13KG,13kg,164230,9310022572708,ADVANCE,$153.00,4.9,7,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-weight-control-700g-p-21468,21468,ADVANCE DOG WEIGHT CONTROL 700G,700g,162102,9334214029740,ADVANCE,$7.42,N/A,N/A,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-casserole-chicken-400g-p-21459,21459,ADVANCE DOG CASSEROLE CHICKEN 400G,400g,162097,9334214029801,ADVANCE,$5.14,5.0,1,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-large-breed-chicken-15kg-p-3318,3318,ADVANCE DOG LARGE+ BREED CHICKEN 15KG,15kg,164223,9334214008219,ADVANCE,$157.00,4.9,10,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-medium-breed-chicken-and-rice-3kg-p-3329,3329,ADVANCE DOG MEDIUM BREED CHICKEN AND RICE 3KG,3kg,164234,9310022566004,ADVANCE,$46.60,5.0,1,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-chicken-turkey-and-rice-700g-p-3050,3050,ADVANCE DOG CHICKEN TURKEY AND RICE 700G,700g,162002,9334214029979,ADVANCE,$7.42,N/A,N/A,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-medium-breed-chicken-and-rice-15kg-p-3328,3328,ADVANCE DOG MEDIUM BREED CHICKEN AND RICE 15KG,15kg,164233,9310022528507,ADVANCE,$150.00,4.7,9,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-weight-control-405gm-p-21453,21453,ADVANCE DOG WEIGHT CONTROL 405GM,,162093,9334214017549,ADVANCE,$5.14,5.0,1,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-chicken-turkey-and-rice-410g-p-21456,21456,"ADVANCE DOG CHICKEN, TURKEY  AND RICE 410G",410g,162095,9334214017525,ADVANCE,$5.14,4.0,1,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/absolute-holistic-air-dried-dog-food-blue-mackerel-lamb-1kg-p-31641,31641,ABSOLUTE HOLISTIC AIR DRIED DOG FOOD - BLUE MACKEREL & LAMB 1KG,1kg,242303,712038202027,ABSOLUTE HOLISTIC,$58.97,4.8,24,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-weight-control-medium-breed-25kg-p-3326,3326,ADVANCE DOG WEIGHT CONTROL MEDIUM BREED 2.5KG,5kg,164231,9310022566509,ADVANCE,$46.05,5.0,1,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-oodles-large-breed-25kg-p-36627,36627,ADVANCE OODLES LARGE BREED 2.5KG,5kg,165773,9334214054605,ADVANCE,$46.05,N/A,N/A,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-oodles-small-breed-25kg-p-36626,36626,ADVANCE OODLES SMALL BREED 2.5KG,5kg,165772,9334214054582,ADVANCE,$46.05,N/A,N/A,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-terrier-medium-breed-25kg-p-36628,36628,ADVANCE TERRIER MEDIUM BREED 2.5KG,5kg,165774,9334214054629,ADVANCE,$46.05,N/A,N/A,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/black-hawk-adult-chicken-and-rice-20kg-p-16860,16860,BLACK HAWK ADULT CHICKEN AND RICE 20KG,20kg,165011,9338362001047,BLACK HAWK,$169.00,4.9,134,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-puppy-plus-lamb-410g-p-21447,21447,ADVANCE PUPPY PLUS LAMB 410G,410g,162090,9334214029764,ADVANCE,$5.14,N/A,N/A,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-puppy-growth-toy-and-small-breed-3kg-p-3348,3348,ADVANCE PUPPY GROWTH TOY AND SMALL BREED 3KG,3kg,164253,9334214002743,ADVANCE,$46.60,4.4,9,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-puppy-growth-large-breed-15kg-p-3344,3344,ADVANCE PUPPY GROWTH LARGE+ BREED 15KG,15kg,164249,9334214003108,ADVANCE,$154.00,4.9,10,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-puppy-growth-medium-breed-15kg-p-3341,3341,ADVANCE PUPPY GROWTH MEDIUM BREED 15KG,15kg,164246,9334214003092,ADVANCE,$154.00,4.7,18,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/black-hawk-adult-fish-and-potato-10kg-p-22947,22947,BLACK HAWK ADULT FISH AND POTATO 10KG,10kg,165742,9338362001566,BLACK HAWK,$125.00,4.7,49,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/balanced-life-enhanced-dry-food-with-chicken-meat-pieces-9kg-p-32228,32228,BALANCED LIFE ENHANCED DRY FOOD WITH CHICKEN MEAT PIECES 9KG,9kg,242353,9323961000119,BALANCED LIFE,$141.00,5.0,6,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/balanced-life-chicken-dog-food-35kg-p-30300,30300,BALANCED LIFE CHICKEN DOG FOOD 3.5KG,5kg,242253,9323961009006,BALANCED LIFE,$129.00,4.6,17,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/balanced-life-enhanced-dry-food-with-kangaroo-meat-pieces-9kg-p-32224,32224,BALANCED LIFE ENHANCED  DRY FOOD WITH KANGAROO MEAT PIECES 9KG,9kg,242349,9323961000096,BALANCED LIFE,$149.00,3.0,8,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/balanced-life-lamb-dog-food-35kg-p-30305,30305,BALANCED LIFE LAMB DOG FOOD 3.5KG,5kg,242258,9323961008801,BALANCED LIFE,$129.00,4.3,16,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/billies-bowl-large-breed-adult-with-chicken-10kg-p-40264,40264,BILLIES BOWL LARGE BREED ADULT WITH CHICKEN 10KG,10kg,100000037687,9392596005127,BILLIE'S BOWL,$34.97,N/A,N/A,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/billies-bowl-adult-with-chicken-10kg-p-40260,40260,BILLIES BOWL ADULT WITH CHICKEN 10KG,10kg,100000037685,9392596005103,BILLIE'S BOWL,$34.97,N/A,N/A,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/billies-bowl-puppy-with-chicken-10kg-p-40259,40259,BILLIES BOWL PUPPY WITH CHICKEN 10KG,10kg,100000037683,9392596005080,BILLIE'S BOWL,$34.97,N/A,N/A,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/balanced-life-salmon-dog-food-35kg-p-30311,30311,BALANCED LIFE SALMON DOG FOOD 3.5KG,5kg,242264,9323961008160,BALANCED LIFE,$152.00,4.3,17,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/applaws-dog-can-salmon-vegetable-370g-p-37776,37776,APPLAWS DOG CAN SALMON VEGETABLE 370G,370g,243074,5060481897099,APPLAWS,$4.52,N/A,N/A,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/balanced-life-enhanced-dry-food-with-salmon-pieces-9kg-p-32226,32226,BALANCED LIFE ENHANCED DRY FOOD WITH SALMON PIECES 9KG,9kg,242351,9323961000133,BALANCED LIFE,$141.00,4.1,7,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/black-hawk-chicken-rice-for-large-breed-puppies-10kg-p-38679,38679,BLACK HAWK CHICKEN & RICE FOR LARGE BREED PUPPIES 10KG,10kg,242627,9312239049790,BLACK HAWK,$84.00,4.7,3,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-oodles-small-breed-13kg-p-36629,36629,ADVANCE OODLES SMALL BREED 13KG,13kg,165775,9334214054636,ADVANCE,$153.00,4.8,4,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-puppy-growth-medium-breed-3kg-p-3342,3342,ADVANCE PUPPY GROWTH MEDIUM BREED 3KG,3kg,164247,9334214002767,ADVANCE,$46.60,4.0,5,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/black-hawk-chicken-rice-for-medium-breed-puppies-20kg-p-38678,38678,BLACK HAWK CHICKEN & RICE FOR MEDIUM BREED PUPPIES 20KG,20kg,242626,9312239049769,BLACK HAWK,$123.75,N/A,N/A,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/black-hawk-adult-lamb-and-rice-20kg-p-16861,16861,BLACK HAWK ADULT LAMB AND RICE 20KG,20kg,165012,9338362000910,BLACK HAWK,$169.00,4.9,159,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/black-hawk-chicken-rice-for-medium-breed-puppies-10kg-p-38677,38677,BLACK HAWK CHICKEN & RICE FOR MEDIUM BREED PUPPIES 10KG,10kg,242625,9312239049752,BLACK HAWK,$84.00,5.0,3,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-puppy-growth-large-breed-3kg-p-3345,3345,ADVANCE PUPPY GROWTH LARGE+ BREED 3KG,3kg,164250,9334214002781,ADVANCE,$46.60,5.0,1,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-oodles-large-breed-13kg-p-36630,36630,ADVANCE OODLES LARGE BREED 13KG,13kg,165776,9334214054643,ADVANCE,$153.00,5.0,1,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-puppy-growth-chicken-and-rice-700gm-p-3062,3062,ADVANCE PUPPY GROWTH CHICKEN AND RICE 700GM,,162008,9334214029757,ADVANCE,$7.42,N/A,N/A,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/black-hawk-adult-fish-and-potato-3kg-p-21024,21024,BLACK HAWK ADULT FISH AND POTATO 3KG,3kg,165020,9338362001405,BLACK HAWK,$52.35,4.8,12,LimitedAvailability
