Scraped_Date,Scraped_Time,brand,brandless_name,product_id,product_name,skus,display_name,auto_delivery_price,recommended_retail_price,rrp_discount_price,single_order_price
02/15/2023, 14:55:45,Pedigree,7 Plus Real Turkey Dry Dog Food,pedigree-7-plus-real-turkey-dry-dog-food,Pedigree 7 Plus Real Turkey Dry Dog Food,M370096VO2X,2 x 3kg,25.48,26.0,2,25.48
02/15/2023, 14:55:45,Pedigree,7 Plus Real Turkey Dry Dog Food,pedigree-7-plus-real-turkey-dry-dog-food,Pedigree 7 Plus Real Turkey Dry Dog Food,M370096MS,12 X 3kg,156.0,156.0,0,156.0
02/15/2023, 14:55:45,Optimum,Adult Dental Care Dry Dog Food With Chicken,optimum-adult-dental-care-dry-dog-food-with-chicken,Optimum Adult Dental Care Dry Dog Food With Chicken,M438328,3kg,21.0,84.0,75,21.0
02/15/2023, 14:55:45,Optimum,Adult Dental Care Dry Dog Food With Chicken,optimum-adult-dental-care-dry-dog-food-with-chicken,Optimum Adult Dental Care Dry Dog Food With Chicken,M438328VO2X,2 x 3kg,41.16,168.0,76,41.16
02/15/2023, 14:55:45,Optimum,Adult Dental Care Dry Dog Food With Chicken,optimum-adult-dental-care-dry-dog-food-with-chicken,Optimum Adult Dental Care Dry Dog Food With Chicken,M438328MS,4 x 3kg,320.0,336.0,5,320.0
02/15/2023, 14:55:45,Wagalot,Snackadoodle Meal Topper Dog Treats Bag,wagalot-snackadoodle-meal-topper-dog-treats-bag,Wagalot Snackadoodle Meal Topper Dog Treats Bag,SADMT200,200g,22.5,22.5,0,22.5
02/15/2023, 14:55:45,Wagalot,Snackadoodle Meal Topper Dog Treats Bag,wagalot-snackadoodle-meal-topper-dog-treats-bag,Wagalot Snackadoodle Meal Topper Dog Treats Bag,SADMT200MS,15 x 200g,337.5,337.5,0,337.5
02/15/2023, 14:55:45,Pedigree,High Protein With Real Beef And Lamb Dry Dog Food,pedigree-high-protein-with-real-beef-and-lamb-dry-dog-food,Pedigree High Protein With Real Beef And Lamb Dry Dog Food,M404587,2.5kg,13.0,13.0,0,13.0
02/15/2023, 14:55:45,Pedigree,High Protein With Real Beef And Lamb Dry Dog Food,pedigree-high-protein-with-real-beef-and-lamb-dry-dog-food,Pedigree High Protein With Real Beef And Lamb Dry Dog Food,M404587VO2X,2 x 2.5kg,25.48,26.0,2,25.48
02/15/2023, 14:55:45,Pedigree,High Protein With Real Beef And Lamb Dry Dog Food,pedigree-high-protein-with-real-beef-and-lamb-dry-dog-food,Pedigree High Protein With Real Beef And Lamb Dry Dog Food,M404587MS,4 X 2.5kg,52.0,52.0,0,52.0
02/15/2023, 14:55:45,Pedigree,High Protein With Real Chicken And Turkey Dry Dog Food,pedigree-high-protein-with-real-chicken-and-turkey-dry-dog-food,Pedigree High Protein With Real Chicken And Turkey Dry Dog Food,M404589,2.5kg,13.0,13.0,0,13.0
02/15/2023, 14:55:45,Pedigree,High Protein With Real Chicken And Turkey Dry Dog Food,pedigree-high-protein-with-real-chicken-and-turkey-dry-dog-food,Pedigree High Protein With Real Chicken And Turkey Dry Dog Food,M404589VO2X,2 x 2.5kg,25.48,26.0,2,25.48
02/15/2023, 14:55:45,Pedigree,High Protein With Real Chicken And Turkey Dry Dog Food,pedigree-high-protein-with-real-chicken-and-turkey-dry-dog-food,Pedigree High Protein With Real Chicken And Turkey Dry Dog Food,M404589MS,4 X 2.5kg,52.0,52.0,0,52.0
02/15/2023, 14:55:45,Pedigree,Beef Gravy Casserole Wet Dog Food Pouch,pedigree-beef-gravy-casserole-wet-dog-food-pouch,Pedigree Beef Gravy Casserole Wet Dog Food Pouch,M428433,12 x 85g,7.71,11.99,36,7.71
02/15/2023, 14:55:45,Pedigree,Beef Gravy Casserole Wet Dog Food Pouch,pedigree-beef-gravy-casserole-wet-dog-food-pouch,Pedigree Beef Gravy Casserole Wet Dog Food Pouch,M428433MS,5 x 12 x 85g,46.35,59.95,23,46.35
