Scraped_Date,Scraped_Time,product_name,handle,brand,product_id,sku,barcode,size,price,availability
02/08/2023, 16:40:42,Meals For Mutts High Perform Grain Free Adult Turkey &amp; Chickpea Dry Dog Food,meals-for-mutts-high-perform-grain-free-adult-turkey-chickpea-dry-dog-food,MEALS FOR MUTTS,6661306482824,100000003441,799439182165,20kg,174.00,Available
02/08/2023, 16:40:42,Meals For Mutts High Perform Grain Free Adult Turkey &amp; Chickpea Dry Dog Food,meals-for-mutts-high-perform-grain-free-adult-turkey-chickpea-dry-dog-food,MEALS FOR MUTTS,6661306482824,100000003443,799439714458,9kg,94.50,Available
02/08/2023, 16:40:42,Hill's Science Diet Perfect Weight Adult Chicken Dry Dog Food,hills-science-diet-perfect-weight-adult-chicken-dry-dog-food,Hill's Science Diet,6661264670856,100000012202,052742001838,12.9kg,173.00,Available
02/08/2023, 16:40:42,Hill's Science Diet Perfect Weight Adult Chicken Dry Dog Food,hills-science-diet-perfect-weight-adult-chicken-dry-dog-food,Hill's Science Diet,6661264670856,122718000133,052742297200,1.8kg,45.98,Available
02/08/2023, 16:40:42,Hill's Science Diet Perfect Weight Adult Chicken Dry Dog Food,hills-science-diet-perfect-weight-adult-chicken-dry-dog-food,Hill's Science Diet,6661264670856,122718000134,052742296609,6.80kg,118.00,Available
02/08/2023, 16:40:42,Eukanuba Medium Breed Adult Chicken Dry Dog Food,eukanuba-medium-breed-adult-dry-dog-food,Eukanuba,6661200674952,122717000012,9334214037400,3kg,43.79,Available
02/08/2023, 16:40:42,Eukanuba Medium Breed Adult Chicken Dry Dog Food,eukanuba-medium-breed-adult-dry-dog-food,Eukanuba,6661200674952,122717000025,9334214037561,15kg,145.00,Available
02/08/2023, 16:40:42,Hill's Science Diet Large Breed Puppy Chicken Dry Dog Food,hills-science-diet-large-breed-puppy-chicken-dry-dog-food,Hill's Science Diet,6661115478152,100000024742,052742937601,7.03kg,118.00,Available
02/08/2023, 16:40:42,Hill's Science Diet Large Breed Puppy Chicken Dry Dog Food,hills-science-diet-large-breed-puppy-chicken-dry-dog-food,Hill's Science Diet,6661115478152,122718000025,052742648101,3kg,59.80,Available
02/08/2023, 16:40:42,Hill's Science Diet Large Breed Puppy Chicken Dry Dog Food,hills-science-diet-large-breed-puppy-chicken-dry-dog-food,Hill's Science Diet,6661115478152,122718000147,052742005447,12kg,156.00,Available
02/08/2023, 16:40:42,Eukanuba Fit Body Medium Breed Adult Chicken Dry Dog Food,eukanuba-medium-breed-fit-body-adult-dry-dog-food,Eukanuba,6661086740616,122717000028,9334214037899,3kg,43.79,Available
02/08/2023, 16:40:42,Eukanuba Fit Body Medium Breed Adult Chicken Dry Dog Food,eukanuba-medium-breed-fit-body-adult-dry-dog-food,Eukanuba,6661086740616,122717000029,9334214037516,15kg,145.00,Available
